Tissue  ,w_mu_x(m^2/kg),Density (kg/m^3),mu_x,HU,Velocity,Attenuation Constant (Np/m)
Adrenal Gland,0.02247564861,1028,23.10496677,12.09434096,1500,38.73
Air,0.0142318181,1,0.0142318181,-999.3765867,343,0.2446496661
Bile,0.02279451691,928,21.1533117,-73.39632754,1500,0.8469184457
Blood,0.02209618442,1050,23.20099364,16.30072019,1578.2,6.195348659
Bone,0.02033592883,1908,38.80095221,699.6442605,3514.9,136.3825
Bone (Cancellous),0.02187106211,1178,25.76411116,128.5760056,2117.5,141.132121
Bone (Cortical),0.02033592883,1908,38.80095221,699.6442605,3514.9,136.3825
Bone Marrow (Red),0.02224559941,1029,22.8907218,2.709513576,1450,31.25
Bone Marrow (Yellow),0.02238771837,980,21.939964,-38.93766077,1371.9,11.78880918
Brain,0.0228100881,1046,23.85935215,45.13958124,1546.3,22.38902853
Brain (Grey Matter),0.02273051546,1045,23.75338866,40.49793636,1500,3.636542408
Brain (White Matter),0.02258814533,1041,23.51425929,30.02306804,1552.5,18.21212455
Breast Fat,0.02076225327,911,18.91441273,-171.4694821,1440.2,11.78880918
Breast Gland,0.02241227162,1041,23.33117476,22.00319869,1505,34.13283449
Bronchi lumen,0.0142318181,1,0.0142318181,-999.3765867,343,0.2446496661
Cartilage,0.0224095427,1100,24.65049697,79.79503854,1639.6,1.09925
Cerebellum,0.0228100881,1045,23.83654206,44.14040382,1537,17.09581376
Cerebrospinal Fluid,0.0229548451,1007,23.11552902,12.55701175,1504.5,0.25
Commissura Anterior,0.02258814533,1041,23.51425929,30.02306804,1552.5,18.21212455
Commissura Posterior,0.02258814533,1041,23.51425929,30.02306804,1552.5,18.21212455
Connective Tissue,0.02214719531,1027,22.74516958,-3.666283179,1545,42.4515517
Diaphragm,0.02250395978,1090,24.52931616,74.48681147,1588.4,19.17105192
Dura,0.02214719531,1174,26.00080729,138.9442878,1500,33.505155
Esophagus,0.02256949472,1040,23.47227451,28.18395892,1500,14.35725
